Node ID	No Taxa	Original BL	No different from original	Pct time scaled	Mean Scalar	Mode Scalar	Median Scalar	SD Scalar	Mean SigV	Mode SigV	Median SigV	SD SigV	Mean DeltaB	Mode DeltaB	Median DeltaB	SD DeltaB	Mean DeltaV	Mode DeltaV	Median DeltaV	SD DeltaV	Taxa List	
21	2	2.037400	3051	61.020000	1.599582	1.023712	1.000000	3.190107	0.001615	0.000754	0.000845	0.003036	0.003475	0.001587	0.001984	0.005179	0.003290	0.001536	0.001722	0.006185	Egernia_napoleonis,Egernia_richardi	
22	1	10.277300	2913	58.260000	0.978093	0.988875	1.000000	1.139301	0.001007	0.000755	0.000813	0.001103	0.017530	0.008003	0.010010	0.026123	0.010350	0.007756	0.008355	0.011334	Egernia_napoleonis	
23	1	10.277300	2861	57.220000	0.847930	1.002613	1.000000	0.518545	0.000861	0.000748	0.000800	0.000388	0.017530	0.008003	0.010010	0.026123	0.008852	0.007682	0.008218	0.003987	Egernia_richardi	
24	1	12.314700	2763	55.260000	0.821800	0.995960	1.000000	0.434571	0.000843	0.000747	0.000789	0.000382	0.021005	0.009590	0.011995	0.031302	0.010377	0.009199	0.009716	0.004701	Egernia_kingii	
25	1	15.464111	2533	50.660000	0.820540	0.995824	1.000000	0.541201	0.000836	0.000736	0.000787	0.000456	0.026377	0.012043	0.015062	0.039307	0.012924	0.011379	0.012174	0.007050	Egernia_douglasi	
26	8	0.525737	2657	53.140000	1.036448	1.005740	1.000000	1.849449	0.001054	0.000746	0.000810	0.001648	0.000897	0.000409	0.000512	0.001336	0.000554	0.000392	0.000426	0.000866	Egernia_cunninghami,Egernia_hosmeri,Egernia_mcpheei,Egernia_rugosa,Egernia_s.stokesii,Egernia_s.zellingi,Egernia_saxatilis,Egernia_striolata	
27	4	1.308320	2921	58.420000	1.717425	1.010563	1.000000	3.513301	0.001719	0.000754	0.000854	0.003190	0.002232	0.001019	0.001274	0.003326	0.002249	0.000987	0.001117	0.004174	Egernia_hosmeri,Egernia_rugosa,Egernia_s.stokesii,Egernia_s.zellingi	
28	3	4.339092	2819	56.380000	0.959901	0.994241	1.000000	1.184531	0.000979	0.000731	0.000823	0.001084	0.007401	0.003379	0.004226	0.011029	0.004248	0.003173	0.003570	0.004704	Egernia_hosmeri,Egernia_s.stokesii,Egernia_s.zellingi	
29	2	2.803183	2886	57.720000	0.898386	1.006166	1.000000	0.745262	0.000912	0.000735	0.000821	0.000622	0.004781	0.002183	0.002730	0.007125	0.002556	0.002062	0.002301	0.001745	Egernia_s.stokesii,Egernia_s.zellingi	
30	1	6.928850	2867	57.340000	0.876831	0.996456	1.000000	0.576307	0.000888	0.000741	0.000819	0.000428	0.011819	0.005396	0.006749	0.017612	0.006152	0.005136	0.005677	0.002964	Egernia_s.stokesii	
31	1	6.928850	2880	57.600000	0.939398	0.994348	1.000000	0.994623	0.000959	0.000747	0.000826	0.000904	0.011819	0.005396	0.006749	0.017612	0.006643	0.005179	0.005723	0.006263	Egernia_s.zellingi	
32	1	9.732033	2796	55.920000	0.903442	0.991476	1.000000	0.809702	0.000914	0.000736	0.000822	0.000647	0.016600	0.007579	0.009479	0.024737	0.008897	0.007165	0.008000	0.006301	Egernia_hosmeri	
